Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;IdTrans;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000091;2024-01-12 00:00:00;D;PAGO 2020 005 AUAU;NULL;NULL;881,45;0,00;CO;NULL;2024-01-12 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011467;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;4936;NULL;NULL;NULL;0300011467;NULL;NULL;NULL;NULL;NULL;0000011476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0000000;2023-12-29 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;3400,00;0,00;CO;NULL;2023-12-29 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000560;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;4967;NULL;NULL;NULL;2500000560;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202312;NULL;NULL;NULL;NULL
0000089;2023-03-03 00:00:00;D;PAGO 2023 000 AUAU;NULL;NULL;98716,13;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011359;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;4998;NULL;NULL;NULL;0300011359;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2020 002 OBSA;NULL;NULL;835,38;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500000160;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5029;NULL;NULL;NULL;0500000160;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2022-11-04 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2380,00;0,00;CO;NULL;2022-11-04 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000341;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5060;NULL;NULL;NULL;2500000341;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202211;NULL;NULL;NULL;NULL
0000032;2022-09-28 00:00:00;D;PAGO 2022 002 OBSA;NULL;NULL;862,40;0,00;CO;NULL;2022-09-28 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500002719;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5091;NULL;NULL;NULL;0500002719;NULL;NULL;NULL;NULL;NULL;0000003153;NULL;NULL;565656;NULL;202209;NULL;NULL;NULL;NULL
0000057;2022-09-09 00:00:00;D;PAGO 2021 003 ININ;NULL;NULL;557,19;0,00;CO;NULL;2022-09-09 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011010;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5122;NULL;NULL;NULL;0100011010;NULL;NULL;NULL;NULL;NULL;0000011563;NULL;NULL;565656;NULL;202209;NULL;NULL;NULL;NULL
0000019;2022-09-06 00:00:00;D;PAGO 2022 003 OBSA;NULL;NULL;799,26;0,00;CO;NULL;2022-09-06 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500001645;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5153;NULL;NULL;NULL;0500001645;NULL;NULL;NULL;NULL;NULL;0000003136;NULL;NULL;565656;NULL;202209;NULL;NULL;NULL;NULL
0000019;2022-09-06 00:00:00;D;PAGO 2020 002 ININ;NULL;NULL;1142,19;0,00;CO;NULL;2022-09-06 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100010099;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5184;NULL;NULL;NULL;0100010099;NULL;NULL;NULL;NULL;NULL;0000011561;NULL;NULL;565656;NULL;202209;NULL;NULL;NULL;NULL
0000043;2022-08-29 00:00:00;D;PAGO 2017 004 ININ;NULL;NULL;815,40;0,00;CO;NULL;2022-08-29 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100003104;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5215;NULL;NULL;NULL;0100003104;NULL;NULL;NULL;NULL;NULL;0000011558;NULL;NULL;565656;NULL;202208;NULL;NULL;NULL;NULL
0000043;2022-08-29 00:00:00;D;PAGO 2010 001 ININ;NULL;NULL;206,40;0,00;CO;NULL;2022-08-29 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100000985;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5246;NULL;NULL;NULL;0100000985;NULL;NULL;NULL;NULL;NULL;0000011558;NULL;NULL;565656;NULL;202208;NULL;NULL;NULL;NULL
0000074;2022-08-05 00:00:00;D;PAGO 2021 004 ININ;NULL;NULL;1011,06;0,00;CO;NULL;2022-08-05 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011091;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5277;NULL;NULL;NULL;0100011091;NULL;NULL;NULL;NULL;NULL;0000011556;NULL;NULL;565656;NULL;202208;NULL;NULL;NULL;NULL
0000000;2022-07-01 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;1960,00;0,00;CO;NULL;2022-07-01 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000287;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5308;NULL;NULL;NULL;2500000287;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202207;NULL;NULL;NULL;NULL
0000127;2022-06-03 00:00:00;D;PAGO 2022 003 AUAU;NULL;NULL;3374,92;0,00;CO;NULL;2022-06-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011147;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5339;NULL;NULL;NULL;0300011147;NULL;NULL;NULL;NULL;NULL;0000011250;NULL;NULL;565656;NULL;202206;NULL;NULL;NULL;NULL
0000059;2022-05-11 00:00:00;D;PAGO 2022 004 ININ;NULL;NULL;1150,00;0,00;CO;NULL;2022-05-11 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011456;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5370;NULL;NULL;NULL;0100011456;NULL;NULL;NULL;NULL;NULL;0000011551;NULL;NULL;565656;NULL;202205;NULL;NULL;NULL;NULL
0000083;2022-04-18 00:00:00;D;PAGO 2022 002 AUAU;NULL;NULL;7262,30;0,00;CO;NULL;2022-04-18 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011188;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5401;NULL;NULL;NULL;0300011188;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202204;NULL;NULL;NULL;NULL
0000078;2023-03-03 00:00:00;D;PAGO 2023 001 AUAU;NULL;NULL;362,66;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011339;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;4999;NULL;NULL;NULL;0300011339;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000061;2023-03-03 00:00:00;D;PAGO 2023 000 OBSA;NULL;NULL;5940,00;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500004675;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5000;NULL;NULL;NULL;0500004675;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000061;2023-03-03 00:00:00;D;PAGO 2023 000 ININ;NULL;NULL;5940,00;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011894;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5001;NULL;NULL;NULL;0100011894;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2023 000 ININ;NULL;NULL;2970,00;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011654;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5002;NULL;NULL;NULL;0100011654;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2022 004 ININ;NULL;NULL;619,85;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011226;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5003;NULL;NULL;NULL;0100011226;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2022 003 ININ;NULL;NULL;672,18;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011225;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5004;NULL;NULL;NULL;0100011225;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2022 002 ININ;NULL;NULL;725,08;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011224;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5005;NULL;NULL;NULL;0100011224;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2022 001 ININ;NULL;NULL;777,98;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011223;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5006;NULL;NULL;NULL;0100011223;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2021 004 ININ;NULL;NULL;591,63;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100010791;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5007;NULL;NULL;NULL;0100010791;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2021 003 ININ;NULL;NULL;628,94;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100010790;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5008;NULL;NULL;NULL;0100010790;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000016;2023-03-03 00:00:00;D;PAGO 2021 002 ININ;NULL;NULL;666,66;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100010789;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5009;NULL;NULL;NULL;0100010789;NULL;NULL;NULL;NULL;NULL;0000011979;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000000;2023-03-03 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;3600,00;0,00;CO;NULL;2023-03-03 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000406;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5010;NULL;NULL;NULL;2500000406;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000000;2023-03-02 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;3100,00;0,00;CO;NULL;2023-03-02 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000405;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5011;NULL;NULL;NULL;2500000405;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202303;NULL;NULL;NULL;NULL
0000008;2023-02-28 00:00:00;D;PAGO 2022 006 OBSA;NULL;NULL;791,56;0,00;CO;NULL;2023-02-28 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500001503;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5012;NULL;NULL;NULL;0500001503;NULL;NULL;NULL;NULL;NULL;0000004824;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-27 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2700,00;0,00;CO;NULL;2023-02-27 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000404;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5013;NULL;NULL;NULL;2500000404;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000052;2023-02-23 00:00:00;D;PAGO 2023 000 ININ;NULL;NULL;2970,00;0,00;CO;NULL;2023-02-23 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011849;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5014;NULL;NULL;NULL;0100011849;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000052;2023-02-23 00:00:00;D;PAGO 2023 000 ININ;NULL;NULL;2970,00;0,00;CO;NULL;2023-02-23 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0100011844;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5015;NULL;NULL;NULL;0100011844;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-22 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;3100,00;0,00;CO;NULL;2023-02-22 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000403;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5016;NULL;NULL;NULL;2500000403;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-17 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2700,00;0,00;CO;NULL;2023-02-17 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000402;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5017;NULL;NULL;NULL;2500000402;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-17 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2700,00;0,00;CO;NULL;2023-02-17 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000401;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5018;NULL;NULL;NULL;2500000401;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-17 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2500,00;0,00;CO;NULL;2023-02-17 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000400;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5019;NULL;NULL;NULL;2500000400;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-17 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2500,00;0,00;CO;NULL;2023-02-17 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000399;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5020;NULL;NULL;NULL;2500000399;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-17 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2500,00;0,00;CO;NULL;2023-02-17 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000398;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5021;NULL;NULL;NULL;2500000398;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-15 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2700,00;0,00;CO;NULL;2023-02-15 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000397;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5022;NULL;NULL;NULL;2500000397;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-15 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2500,00;0,00;CO;NULL;2023-02-15 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000396;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5023;NULL;NULL;NULL;2500000396;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000000;2023-02-15 00:00:00;D;PAGO 0000 000 xxxx;NULL;NULL;2700,00;0,00;CO;NULL;2023-02-15 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000395;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5024;NULL;NULL;NULL;2500000395;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000121;2023-02-14 00:00:00;D;PAGO 2023 000 AUAU;NULL;NULL;10390,11;0,00;CO;NULL;2023-02-14 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0300011310;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5025;NULL;NULL;NULL;0300011310;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2020 006 OBSA;NULL;NULL;732,48;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500000164;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5026;NULL;NULL;NULL;0500000164;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2020 005 OBSA;NULL;NULL;758,10;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500000163;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5027;NULL;NULL;NULL;0500000163;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2020 003 OBSA;NULL;NULL;809,76;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500000161;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5028;NULL;NULL;NULL;0500000161;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2020 001 OBSA;NULL;NULL;847,98;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500000159;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5030;NULL;NULL;NULL;0500000159;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2019 006 OBSA;NULL;NULL;633,00;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500004572;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5031;NULL;NULL;NULL;0500004572;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
0000022;2023-02-13 00:00:00;D;PAGO 2019 005 OBSA;NULL;NULL;651,30;0,00;CO;NULL;2023-02-13 00:00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;0500004518;0000;RRRR;01;01;0000;000;NULL;NULL;NULL;NULL;5032;NULL;NULL;NULL;0500004518;NULL;NULL;NULL;NULL;NULL;0000004822;NULL;NULL;565656;NULL;202302;NULL;NULL;NULL;NULL
